Filial,Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Data_Atualizacao,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
RIBAS,SMG2D73,Carregamento Fabrica RRP,07/08/2025 03:58:31,07/08/2025 04:10:04,07/08/2025 05:10:14,Saiu da cerca,11m,44459,612374,170885
RIBAS,SMG9E17,Buffer frotas ,07/08/2025 04:05:17,07/08/2025 04:09:48,07/08/2025 05:09:54,Saiu da cerca,4m,44459,613210,170884
RIBAS,SMG2D73,Enlonamento RRP,07/08/2025 03:58:31,07/08/2025 04:07:34,07/08/2025 05:08:13,Saiu da cerca,9m,44459,612374,184474
RIBAS,SYD5G57,Enlonamento RRP,07/08/2025 04:07:03,07/08/2025 04:07:49,07/08/2025 05:07:58,Saiu da cerca,0m,39450,595761,184474
RIBAS,SYD5G57,Carregamento RRp,07/08/2025 03:39:20,07/08/2025 04:07:03,07/08/2025 05:07:12,Saiu da cerca,27m,39450,595761,169314
RIBAS,SYD5F91,Enlonamento RRP,07/08/2025 04:06:41,,07/08/2025 05:06:47,Entrou na cerca,,39450,593043,184474
RIBAS,SYE7D12,PA AGUA CLARA,07/08/2025 02:32:31,07/08/2025 04:06:30,07/08/2025 05:06:37,Saiu da cerca,1h 33m,39450,600095,185766
RIBAS,RWD4B32,Descarga INO,07/08/2025 02:59:12,07/08/2025 04:03:14,07/08/2025 05:06:37,Saiu da cerca,1h 4m,44459,620722,169315
RIBAS,RWD4B32,Desc. INO,07/08/2025 03:16:14,07/08/2025 04:03:14,07/08/2025 05:06:37,Saiu da cerca,47m,44459,620722,185561
RIBAS,RWD4B32,Patio Vazio INO,07/08/2025 04:03:14,,07/08/2025 05:06:37,Entrou na cerca,,44459,620722,185554
RIBAS,SYD5G26,Oficina JSL,07/08/2025 04:06:17,,07/08/2025 05:06:27,Entrou na cerca,,39450,593026,181600
RIBAS,SYD5F91,Enlonamento RRP,07/08/2025 04:04:35,07/08/2025 04:05:20,07/08/2025 05:05:57,Saiu da cerca,0m,39450,593043,184474
RIBAS,SYD5G56,PA AGUA CLARA,07/08/2025 03:01:51,07/08/2025 04:05:29,07/08/2025 05:05:36,Saiu da cerca,1h 3m,39450,595769,185766
RIBAS,SYD5F93,Buffer frotas ,07/08/2025 03:24:25,07/08/2025 04:05:18,07/08/2025 05:05:26,Saiu da cerca,40m,39450,586869,170884
RIBAS,RWD4B32,Patio Vazio INO,07/08/2025 02:55:11,07/08/2025 03:16:14,07/08/2025 05:05:11,Saiu da cerca,21m,44459,620722,185554
RIBAS,RWD4B32,Patio Carregado INO,07/08/2025 02:42:09,07/08/2025 02:55:11,07/08/2025 05:05:01,Saiu da cerca,13m,44459,620722,185552
RIBAS,RWD4B32,Descarga Inocencia,07/08/2025 02:38:08,,07/08/2025 05:04:51,Entrou na cerca,,44459,620722,171260
RIBAS,RWD4B32,Terminal Inocencia,07/08/2025 02:42:09,,07/08/2025 05:04:51,Entrou na cerca,,44459,620722,185549
RIBAS,SMG9E17,Buffer frotas ,07/08/2025 03:52:47,07/08/2025 04:04:22,07/08/2025 05:04:35,Saiu da cerca,11m,44459,613210,170884
RIBAS,SYD5F91,Carregamento RRp,07/08/2025 03:24:55,07/08/2025 04:04:25,07/08/2025 05:04:30,Saiu da cerca,39m,39450,593043,169314
RIBAS,SMG9C17,Abastecimento Frotas RRP,07/08/2025 03:43:06,07/08/2025 03:55:24,07/08/2025 04:55:34,Saiu da cerca,12m,44459,613399,170896
RIBAS,SMG9C17,Pro LOG,07/08/2025 03:43:06,07/08/2025 03:55:24,07/08/2025 04:55:34,Saiu da cerca,12m,44459,613399,185128
RIBAS,QTQ0F44,Terminal Inocencia,07/08/2025 02:49:34,07/08/2025 03:50:07,07/08/2025 04:54:34,Saiu da cerca,1h 0m,44459,610552,185549
RIBAS,QTQ0F44,Descarga Inocencia,07/08/2025 02:49:34,07/08/2025 03:50:07,07/08/2025 04:54:34,Saiu da cerca,1h 0m,44459,610552,171260
RIBAS,QTQ0F44,Descarga INO,07/08/2025 03:04:35,07/08/2025 03:50:07,07/08/2025 04:54:34,Saiu da cerca,45m,44459,610552,169315
RIBAS,QTQ0F44,Desc. INO,07/08/2025 03:04:35,07/08/2025 03:50:07,07/08/2025 04:54:34,Saiu da cerca,45m,44459,610552,185561
RIBAS,SYD5F96,Pro LOG,07/08/2025 03:43:18,07/08/2025 03:54:25,07/08/2025 04:54:34,Saiu da cerca,11m,39450,593652,185128
RIBAS,SYD5F96,Abastecimento Frotas RRP,07/08/2025 03:43:18,07/08/2025 03:54:25,07/08/2025 04:54:33,Saiu da cerca,11m,39450,593652,170896
RIBAS,SMG9I17,Enlonamento RRP,07/08/2025 03:52:50,07/08/2025 03:53:21,07/08/2025 04:53:27,Saiu da cerca,0m,44459,617788,184474
RIBAS,SMG9I17,Carregamento RRp,07/08/2025 03:00:55,07/08/2025 03:52:50,07/08/2025 04:53:02,Saiu da cerca,51m,44459,617788,169314
FILIAL 16622,SYD5F94,Descarga TAP,07/08/2025 03:13:01,07/08/2025 03:48:09,07/08/2025 04:52:42,Saiu da cerca,35m,16622,586850,186956
FILIAL 16622,SYD5F94,FILA DESCARGA APT,07/08/2025 03:48:09,07/08/2025 03:52:15,07/08/2025 04:52:42,Saiu da cerca,4m,16622,586850,115514
FILIAL 16622,SYD5F94,TRAJETO PA X APARECIDA 3,07/08/2025 03:52:15,,07/08/2025 04:52:42,Entrou na cerca,,16622,586850,69023
FILIAL 16622,SYD5F94,Descarga TAP,07/08/2025 02:50:28,07/08/2025 03:09:49,07/08/2025 04:52:26,Saiu da cerca,19m,16622,586850,186956
FILIAL 16622,SYD5F94,FILA DESCARGA APT,07/08/2025 01:53:23,07/08/2025 02:50:28,07/08/2025 04:52:16,Saiu da cerca,57m,16622,586850,115514
FILIAL 16622,SYD5F94,TRAJETO PA X APARECIDA 3,07/08/2025 01:52:00,07/08/2025 01:55:28,07/08/2025 04:51:56,Saiu da cerca,3m,16622,586850,69023
RIBAS,SMG9E17,Carregamento Fabrica RRP,07/08/2025 02:29:14,07/08/2025 03:51:14,07/08/2025 04:51:26,Saiu da cerca,1h 22m,44459,613210,170885
RIBAS,SMG9E17,Enlonamento RRP,07/08/2025 03:25:55,07/08/2025 03:51:14,07/08/2025 04:51:26,Saiu da cerca,25m,44459,613210,184474
RIBAS,SYD5G32,Agua Clara,07/08/2025 03:19:41,07/08/2025 03:51:02,07/08/2025 04:51:11,Saiu da cerca,31m,39450,595364,171261
RIBAS,SYD5G32,PA AGUA CLARA,07/08/2025 03:19:41,07/08/2025 03:51:02,07/08/2025 04:51:11,Saiu da cerca,31m,39450,595364,185766
FILIAL 16622,SYR4E37,TRAJETO PA X APARECIDA 2,07/08/2025 03:47:15,,07/08/2025 04:50:12,Entrou na cerca,,16622,589829,69021
FILIAL 16622,SYR4E37,TRAJETO PA X APARECIDA 3,07/08/2025 03:22:01,07/08/2025 03:47:15,07/08/2025 04:50:10,Saiu da cerca,25m,16622,589829,69023
FILIAL 16622,SYD5G60,TRAJETO PA,07/08/2025 03:49:23,07/08/2025 03:49:49,07/08/2025 04:49:55,Saiu da cerca,0m,16622,584818,69013
FILIAL 16622,SYD5G60,PA Celulose,07/08/2025 03:49:49,,07/08/2025 04:49:55,Entrou na cerca,,16622,584818,94377
FILIAL 16622,SYD5G60,TRAJETO PA X APARECIDA 1,07/08/2025 03:16:12,07/08/2025 03:49:23,07/08/2025 04:49:35,Saiu da cerca,33m,16622,584818,69019
RIBAS,FOW8J57,Carregamento RRp,07/08/2025 03:49:28,,07/08/2025 04:49:34,Entrou na cerca,,44459,611593,169314
RIBAS,SYL4A18,Buffer frotas ,07/08/2025 03:30:55,07/08/2025 03:48:12,07/08/2025 04:48:19,Saiu da cerca,17m,39450,595189,170884
RIBAS,SYL5J47,Carregamento RRp,07/08/2025 03:46:40,,07/08/2025 04:46:48,Entrou na cerca,,39450,595224,169314
RIBAS,SYE7D13,PA AGUA CLARA,07/08/2025 03:46:33,,07/08/2025 04:46:38,Entrou na cerca,,39450,600023,185766
RIBAS,SMG2D73,Carregamento Fabrica RRP,07/08/2025 03:05:10,07/08/2025 03:46:18,07/08/2025 04:46:23,Saiu da cerca,41m,44459,612374,170885
RIBAS,SMG2D73,Carregamento RRp,07/08/2025 03:09:12,07/08/2025 03:46:18,07/08/2025 04:46:23,Saiu da cerca,37m,44459,612374,169314
FILIAL 16622,SYD5G60,MONTANINI,07/08/2025 03:44:46,07/08/2025 03:45:22,07/08/2025 04:45:27,Saiu da cerca,0m,16622,584818,51131
RIBAS,SYD5G61,PA AGUA CLARA,07/08/2025 03:06:17,07/08/2025 03:44:58,07/08/2025 04:45:02,Saiu da cerca,38m,39450,595762,185766
RIBAS,SYD5G16,Agua Clara,07/08/2025 03:37:02,07/08/2025 03:44:50,07/08/2025 04:44:57,Saiu da cerca,7m,39450,595366,171261
RIBAS,SYE7D13,Agua Clara,07/08/2025 03:42:53,,07/08/2025 04:43:00,Entrou na cerca,,39450,600023,171261
RIBAS,QTQ0F44,Patio Vazio INO,07/08/2025 02:49:34,07/08/2025 03:04:35,07/08/2025 04:37:52,Saiu da cerca,15m,44459,610552,185554
RIBAS,SYD5G50,Agua Clara,06/08/2025 22:47:18,07/08/2025 03:37:11,07/08/2025 04:37:21,Saiu da cerca,4h 49m,39450,595409,171261
FILIAL 16622,SYD5F88,TRAJETO PA X APARECIDA 1,07/08/2025 02:49:18,07/08/2025 03:35:01,07/08/2025 04:35:10,Saiu da cerca,45m,16622,582309,69019
FILIAL 16622,SYD5F88,PA Celulose,07/08/2025 03:35:01,,07/08/2025 04:35:10,Entrou na cerca,,16622,582309,94377
FILIAL 16622,SYR4E37,Descarga TAP,07/08/2025 02:28:03,07/08/2025 03:22:01,07/08/2025 04:34:44,Saiu da cerca,53m,16622,589829,186956
RIBAS,SYD5G23,Buffer frotas ,07/08/2025 03:22:02,07/08/2025 03:34:10,07/08/2025 04:34:15,Saiu da cerca,12m,39450,595363,170884
RIBAS,FOW8J57,Carregamento Fabrica RRP,07/08/2025 03:34:06,,07/08/2025 04:34:14,Entrou na cerca,,44459,611593,170885
RIBAS,SYD5G01,Buffer frotas ,07/08/2025 03:15:56,07/08/2025 03:33:38,07/08/2025 04:33:44,Saiu da cerca,17m,39450,593678,170884
RIBAS,SYD5G50,PA AGUA CLARA,06/08/2025 22:51:20,07/08/2025 03:31:08,07/08/2025 04:31:17,Saiu da cerca,4h 39m,39450,595409,185766
RIBAS,SYD5G57,Carregamento RRp,07/08/2025 03:22:11,07/08/2025 03:28:13,07/08/2025 04:28:25,Saiu da cerca,6m,39450,595761,169314
RIBAS,SYD5G31,Agua Clara,06/08/2025 22:48:22,07/08/2025 03:27:26,07/08/2025 04:27:34,Saiu da cerca,4h 39m,39450,595348,171261
RIBAS,SYL5J47,Enlonamento RRP,07/08/2025 03:24:25,07/08/2025 03:26:27,07/08/2025 04:26:34,Saiu da cerca,2m,39450,595224,184474
RIBAS,SMG9E17,Carregamento RRp,07/08/2025 02:40:34,07/08/2025 03:25:55,07/08/2025 04:26:03,Saiu da cerca,45m,44459,613210,169314
RIBAS,SYL5J47,Carregamento Fabrica RRP,07/08/2025 03:24:25,,07/08/2025 04:24:33,Entrou na cerca,,39450,595224,170885
RIBAS,SYD5G05,Buffer frotas ,07/08/2025 01:59:13,07/08/2025 03:22:44,07/08/2025 04:22:56,Saiu da cerca,1h 23m,39450,584796,170884
RIBAS,SYD5F91,Carregamento RRp,07/08/2025 03:20:38,07/08/2025 03:22:39,07/08/2025 04:22:51,Saiu da cerca,2m,39450,593043,169314
RIBAS,SYD5G24,Carregamento Fabrica RRP,07/08/2025 02:00:36,07/08/2025 03:16:25,07/08/2025 04:22:12,Saiu da cerca,1h 15m,39450,593003,170885
RIBAS,SYD5G52,Agua Clara,07/08/2025 02:51:48,07/08/2025 03:21:23,07/08/2025 04:22:11,Saiu da cerca,29m,39450,586871,171261
RIBAS,SYD5G27,Buffer frotas ,07/08/2025 03:05:41,07/08/2025 03:21:30,07/08/2025 04:21:36,Saiu da cerca,15m,39450,595760,170884
RIBAS,SYD5F93,Abastecimento Frotas RRP,07/08/2025 03:08:46,07/08/2025 03:21:14,07/08/2025 04:21:20,Saiu da cerca,12m,39450,586869,170896
RIBAS,SYD5F93,Pro LOG,07/08/2025 03:08:46,07/08/2025 03:21:14,07/08/2025 04:21:20,Saiu da cerca,12m,39450,586869,185128
RIBAS,SYD5G31,PA AGUA CLARA,06/08/2025 22:52:24,07/08/2025 03:19:23,07/08/2025 04:19:34,Saiu da cerca,4h 26m,39450,595348,185766
RIBAS,SYD5G36,Agua Clara,07/08/2025 03:06:08,07/08/2025 03:19:28,07/08/2025 04:19:34,Saiu da cerca,13m,39450,595362,171261
RIBAS,SYD5F91,Carregamento RRp,07/08/2025 03:16:35,07/08/2025 03:18:38,07/08/2025 04:18:48,Saiu da cerca,2m,39450,593043,169314
RIBAS,SYL4A18,Carregamento Fabrica RRP,07/08/2025 02:04:02,07/08/2025 03:18:33,07/08/2025 04:18:38,Saiu da cerca,1h 14m,39450,595189,170885
FILIAL 16622,SYR4E37,FILA DESCARGA APT,07/08/2025 01:41:43,07/08/2025 02:28:03,07/08/2025 04:17:53,Saiu da cerca,46m,16622,589829,115514
FILIAL 16622,SYD5G60,TRAJETO PA X APARECIDA 2,07/08/2025 02:26:40,07/08/2025 03:16:12,07/08/2025 04:16:42,Saiu da cerca,49m,16622,584818,69021
RIBAS,SYD5G23,Abastecimento Frotas RRP,07/08/2025 03:05:10,07/08/2025 03:16:01,07/08/2025 04:16:07,Saiu da cerca,10m,39450,595363,170896
RIBAS,SYD5G23,Pro LOG,07/08/2025 03:05:10,07/08/2025 03:16:01,07/08/2025 04:16:07,Saiu da cerca,10m,39450,595363,185128
RIBAS,SYD5F91,Carregamento RRp,07/08/2025 03:13:20,07/08/2025 03:15:21,07/08/2025 04:15:31,Saiu da cerca,2m,39450,593043,169314
RIBAS,SYE7D10,Descarga Inocencia,06/08/2025 21:58:36,07/08/2025 03:12:55,07/08/2025 04:14:41,Saiu da cerca,5h 14m,39450,600021,171260
RIBAS,SYE7D10,Terminal Inocencia,06/08/2025 22:15:33,07/08/2025 03:12:55,07/08/2025 04:14:41,Saiu da cerca,4h 57m,39450,600021,185549
RIBAS,SYE7D10,Patio Carregado INO,06/08/2025 22:30:19,07/08/2025 03:12:55,07/08/2025 04:14:41,Saiu da cerca,4h 42m,39450,600021,185552
RIBAS,SYD5G01,Carregamento Fabrica RRP,07/08/2025 02:03:02,07/08/2025 03:13:55,07/08/2025 04:14:06,Saiu da cerca,1h 10m,39450,593678,170885
RIBAS,SYD5G01,Enlonamento RRP,07/08/2025 02:50:50,07/08/2025 03:13:55,07/08/2025 04:14:06,Saiu da cerca,23m,39450,593678,184474
RIBAS,SMG6H57,Descarga Inocencia,07/08/2025 02:42:07,07/08/2025 03:12:23,07/08/2025 04:12:39,Saiu da cerca,30m,44459,616812,171260
FILIAL 16622,SYD5G60,SELVIRIA,07/08/2025 02:51:11,07/08/2025 02:53:28,07/08/2025 04:12:39,Saiu da cerca,2m,16622,584818,51127
FILIAL 16622,SYD5G60,TRAJETO PA X APARECIDA 3,07/08/2025 02:04:19,07/08/2025 02:26:40,07/08/2025 04:12:24,Saiu da cerca,22m,16622,584818,69023
RIBAS,SYL4A18,Enlonamento RRP,07/08/2025 03:02:05,07/08/2025 03:06:40,07/08/2025 04:12:10,Saiu da cerca,4m,39450,595189,184474
RIBAS,SMG6H57,Terminal Inocencia,07/08/2025 02:42:07,07/08/2025 03:11:22,07/08/2025 04:11:28,Saiu da cerca,29m,44459,616812,185549
RIBAS,SMG6H57,Patio Carregado INO,07/08/2025 03:01:17,07/08/2025 03:11:22,07/08/2025 04:11:28,Saiu da cerca,10m,44459,616812,185552
RIBAS,SMH0F11,Agua Clara,07/08/2025 02:55:57,07/08/2025 03:11:04,07/08/2025 04:11:13,Saiu da cerca,15m,44459,618629,171261
RIBAS,SYD5G57,Carregamento Fabrica RRP,07/08/2025 03:11:07,,07/08/2025 04:11:13,Entrou na cerca,,39450,595761,170885
RIBAS,RWB3C06,Agua Clara,07/08/2025 02:55:10,07/08/2025 03:10:17,07/08/2025 04:10:23,Saiu da cerca,15m,44459,610501,171261
RIBAS,SYD5F91,Carregamento Fabrica RRP,07/08/2025 03:09:19,,07/08/2025 04:09:27,Entrou na cerca,,39450,593043,170885
RIBAS,SYD5G32,Agua Clara,07/08/2025 02:59:01,07/08/2025 03:09:13,07/08/2025 04:09:22,Saiu da cerca,10m,39450,595364,171261
RIBAS,SYD5G32,PA AGUA CLARA,07/08/2025 03:07:04,07/08/2025 03:09:13,07/08/2025 04:09:22,Saiu da cerca,2m,39450,595364,185766
RIBAS,SMG5F48,Agua Clara,07/08/2025 02:57:02,07/08/2025 03:09:07,07/08/2025 04:09:17,Saiu da cerca,12m,44459,616897,171261
RIBAS,SYD5G49,Buffer frotas ,07/08/2025 02:54:52,07/08/2025 03:08:12,07/08/2025 04:08:21,Saiu da cerca,13m,39450,612802,170884
RIBAS,SYD5G57,Buffer frotas ,07/08/2025 00:27:23,07/08/2025 03:07:04,07/08/2025 04:07:10,Saiu da cerca,2h 39m,39450,595761,170884
RIBAS,SYD5G24,Enlonamento RRP,07/08/2025 03:03:03,07/08/2025 03:04:52,07/08/2025 04:05:03,Saiu da cerca,1m,39450,593003,184474
RIBAS,SYD5G18,Descarga Inocencia,07/08/2025 03:02:20,,07/08/2025 04:03:53,Entrou na cerca,,39450,584817,171260
RIBAS,SYD5G24,Carregamento RRp,07/08/2025 02:01:44,07/08/2025 03:03:03,07/08/2025 04:03:12,Saiu da cerca,1h 1m,39450,593003,169314
RIBAS,SMG6H57,Desc. INO,07/08/2025 02:42:07,07/08/2025 03:01:17,07/08/2025 04:02:06,Saiu da cerca,19m,44459,616812,185561
RIBAS,SMG6H57,Descarga INO,07/08/2025 02:42:07,07/08/2025 02:59:17,07/08/2025 04:02:01,Saiu da cerca,17m,44459,616812,169315
RIBAS,SYD5F93,Oficina JSL,06/08/2025 13:38:33,07/08/2025 03:01:44,07/08/2025 04:01:51,Saiu da cerca,13h 23m,39450,586869,181600
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 2,07/08/2025 01:55:06,07/08/2025 02:48:48,07/08/2025 04:00:56,Saiu da cerca,53m,16622,621324,69021
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 1,07/08/2025 02:48:48,,07/08/2025 04:00:56,Entrou na cerca,,16622,621324,69019
RIBAS,SYD5F89,Oficina JSL,07/08/2025 03:00:41,,07/08/2025 04:00:51,Entrou na cerca,,39450,586853,181600
FILIAL 16622,TJM9E93,SELVIRIA,07/08/2025 02:22:30,07/08/2025 02:29:14,07/08/2025 04:00:50,Saiu da cerca,6m,16622,621324,51127
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 3,07/08/2025 01:30:42,07/08/2025 01:55:06,07/08/2025 04:00:25,Saiu da cerca,24m,16622,621324,69023
RIBAS,SYD5G27,Carregamento Fabrica RRP,07/08/2025 02:56:58,07/08/2025 02:59:58,07/08/2025 04:00:10,Saiu da cerca,3m,39450,595760,170885
FILIAL 16622,TJM9E93,Descarga TAP,07/08/2025 00:51:23,07/08/2025 01:30:42,07/08/2025 04:00:05,Saiu da cerca,39m,16622,621324,186956
FILIAL 16622,TJM9E93,FILA DESCARGA APT,07/08/2025 01:30:42,07/08/2025 01:31:53,07/08/2025 04:00:05,Saiu da cerca,1m,16622,621324,115514
FILIAL 16622,TJM9E93,FILA DESCARGA APT,06/08/2025 23:49:07,07/08/2025 00:51:23,07/08/2025 03:58:44,Saiu da cerca,1h 2m,16622,621324,115514
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 3,06/08/2025 23:47:28,06/08/2025 23:52:22,07/08/2025 03:57:54,Saiu da cerca,4m,16622,621324,69023
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 3,06/08/2025 23:23:01,06/08/2025 23:44:27,07/08/2025 03:57:38,Saiu da cerca,21m,16622,621324,69023
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 2,06/08/2025 22:19:16,06/08/2025 23:23:01,07/08/2025 03:57:23,Saiu da cerca,1h 3m,16622,621324,69021
FILIAL 16622,TJM9E93,SELVIRIA,06/08/2025 22:42:38,06/08/2025 22:48:30,07/08/2025 03:56:58,Saiu da cerca,5m,16622,621324,51127
FILIAL 16622,TJM9E93,TRAJETO PA X APARECIDA 1,06/08/2025 21:40:04,06/08/2025 22:14:45,07/08/2025 03:56:48,Saiu da cerca,34m,16622,621324,69019
RIBAS,SYD5G56,PA AGUA CLARA,07/08/2025 02:54:32,07/08/2025 02:56:33,07/08/2025 03:56:43,Saiu da cerca,2m,39450,595769,185766
FILIAL 16622,TJM9E93,MONTANINI,06/08/2025 21:42:48,06/08/2025 21:43:22,07/08/2025 03:56:28,Saiu da cerca,0m,16622,621324,51131
FILIAL 16622,TJM9E93,TRAJETO FABRICA X PA,06/08/2025 20:52:00,06/08/2025 21:40:04,07/08/2025 03:56:23,Saiu da cerca,48m,16622,621324,69017
RIBAS,SYD5G27,Carregamento Fabrica RRP,07/08/2025 02:42:50,07/08/2025 02:54:57,07/08/2025 03:55:07,Saiu da cerca,12m,39450,595760,170885
RIBAS,SYD5G49,Carregamento Fabrica RRP,07/08/2025 02:45:46,07/08/2025 02:54:52,07/08/2025 03:55:02,Saiu da cerca,9m,39450,612802,170885
RIBAS,SYD5G56,PA AGUA CLARA,07/08/2025 02:50:31,07/08/2025 02:52:32,07/08/2025 03:52:50,Saiu da cerca,2m,39450,595769,185766
RIBAS,SMG9B17,Agua Clara,07/08/2025 02:32:47,07/08/2025 02:50:51,07/08/2025 03:50:59,Saiu da cerca,18m,44459,613279,171261
RIBAS,SYD5G26,Agua Clara,07/08/2025 02:23:53,07/08/2025 02:50:50,07/08/2025 03:50:54,Saiu da cerca,26m,39450,593026,171261
RIBAS,SYD5F89,Oficina JSL,07/08/2025 02:40:57,07/08/2025 02:50:09,07/08/2025 03:50:18,Saiu da cerca,9m,39450,586853,181600
RIBAS,SYD5G01,Carregamento RRp,07/08/2025 02:46:53,07/08/2025 02:49:23,07/08/2025 03:49:28,Saiu da cerca,2m,39450,593678,169314
FILIAL 16622,SYD5F88,TRAJETO PA X APARECIDA 2,07/08/2025 01:57:57,07/08/2025 02:49:18,07/08/2025 03:49:23,Saiu da cerca,51m,16622,582309,69021
RIBAS,SYL4A18,Carregamento RRp,07/08/2025 02:38:46,07/08/2025 02:48:16,07/08/2025 03:48:22,Saiu da cerca,9m,39450,595189,169314
RIBAS,QUA0J34,Descarga Inocencia,07/08/2025 01:50:58,07/08/2025 02:46:11,07/08/2025 03:46:41,Saiu da cerca,55m,44459,610648,171260
RIBAS,SYD5G33,PA AGUA CLARA,07/08/2025 02:45:41,,07/08/2025 03:45:46,Entrou na cerca,,39450,593023,185766
RIBAS,QUA0J34,Terminal Inocencia,07/08/2025 01:50:58,07/08/2025 02:44:10,07/08/2025 03:45:20,Saiu da cerca,53m,44459,610648,185549
RIBAS,QUA0J34,Descarga INO,07/08/2025 02:02:03,07/08/2025 02:36:04,07/08/2025 03:45:20,Saiu da cerca,34m,44459,610648,169315
RIBAS,QUA0J34,Desc. INO,07/08/2025 02:16:50,07/08/2025 02:34:04,07/08/2025 03:45:20,Saiu da cerca,17m,44459,610648,185561
RIBAS,QUA0J34,Patio Vazio INO,07/08/2025 02:34:04,07/08/2025 02:36:04,07/08/2025 03:45:20,Saiu da cerca,2m,44459,610648,185554
RIBAS,QUA0J34,Patio Carregado INO,07/08/2025 02:36:04,07/08/2025 02:44:10,07/08/2025 03:45:20,Saiu da cerca,8m,44459,610648,185552
RIBAS,SYD5G27,Enlonamento RRP,07/08/2025 02:42:50,07/08/2025 02:44:52,07/08/2025 03:45:00,Saiu da cerca,2m,39450,595760,184474
RIBAS,SYD5G49,Carregamento Fabrica RRP,07/08/2025 02:00:17,07/08/2025 02:43:45,07/08/2025 03:43:49,Saiu da cerca,43m,39450,612802,170885
RIBAS,SYD5F99,Abastecimento Frotas RRP,07/08/2025 02:30:42,07/08/2025 02:42:48,07/08/2025 03:42:59,Saiu da cerca,12m,39450,586848,170896
RIBAS,SYD5F99,Pro LOG,07/08/2025 02:40:35,07/08/2025 02:42:48,07/08/2025 03:42:59,Saiu da cerca,2m,39450,586848,185128
RIBAS,SYD5G33,Agua Clara,07/08/2025 02:40:37,,07/08/2025 03:40:42,Entrou na cerca,,39450,593023,171261
RIBAS,SYE7D11,Abastecimento Frotas RRP,07/08/2025 02:25:21,07/08/2025 02:39:50,07/08/2025 03:39:57,Saiu da cerca,14m,39450,600025,170896
RIBAS,SYE7D11,Pro LOG,07/08/2025 02:25:21,07/08/2025 02:39:50,07/08/2025 03:39:57,Saiu da cerca,14m,39450,600025,185128
RIBAS,SYD5G27,Carregamento Fabrica RRP,07/08/2025 01:58:41,07/08/2025 02:39:18,07/08/2025 03:39:32,Saiu da cerca,40m,39450,595760,170885
RIBAS,SYD5G27,Carregamento RRp,07/08/2025 02:00:42,07/08/2025 02:39:18,07/08/2025 03:39:32,Saiu da cerca,38m,39450,595760,169314
RIBAS,SYD5F99,Pro LOG,07/08/2025 02:30:42,07/08/2025 02:39:00,07/08/2025 03:39:06,Saiu da cerca,8m,39450,586848,185128
