Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Duracao,Status_Evento
SMG9D17,Carregamento RRp,31/07/2025 19:48,31/07/2025 20:09,20m,Saiu da cerca
SYD5G02,Descarga Inocencia,31/07/2025 19:43,31/07/2025 22:32,2h 48m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 19:49,31/07/2025 20:26,36m,Saiu da cerca
SMG9B17,Abastecimento Frotas RRP,31/07/2025 19:50,31/07/2025 20:07,17m,Saiu da cerca
SMG9B17,Pro LOG,31/07/2025 19:50,31/07/2025 20:07,17m,Saiu da cerca
SYE7D10,Terminal Inocencia,31/07/2025 19:45,31/07/2025 20:01,16m,Saiu da cerca
SYE7D10,Patio Carregado INO,31/07/2025 19:45,31/07/2025 20:01,16m,Saiu da cerca
SYE4C10,Descarga INO,31/07/2025 19:51,31/07/2025 20:33,42m,Saiu da cerca
SYE4C10,Patio Vazio INO,31/07/2025 19:51,31/07/2025 20:07,15m,Saiu da cerca
SYD5G25,Descarga INO,31/07/2025 19:50,31/07/2025 20:29,39m,Saiu da cerca
SYD5G25,Patio Vazio INO,31/07/2025 19:50,31/07/2025 20:21,31m,Saiu da cerca
SYD5G67,Patio Carregado INO,31/07/2025 19:56,31/07/2025 20:03,6m,Saiu da cerca
SYL4A18,Desc. INO,31/07/2025 19:41,31/07/2025 19:59,17m,Saiu da cerca
SYD5G61,Descarga INO,31/07/2025 19:52,31/07/2025 20:34,42m,Saiu da cerca
SYD5G61,Patio Vazio INO,31/07/2025 19:52,31/07/2025 20:24,32m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 19:59,31/07/2025 20:03,4m,Saiu da cerca
SYL4A18,Descarga INO,31/07/2025 19:57,31/07/2025 19:59,2m,Saiu da cerca
SYL4A18,Patio Vazio INO,31/07/2025 19:59,31/07/2025 20:06,7m,Saiu da cerca
SYD5G02,Terminal Inocencia,31/07/2025 19:45,31/07/2025 22:17,2h 31m,Saiu da cerca
SYD5G02,Patio Carregado INO,31/07/2025 19:45,31/07/2025 21:29,1h 43m,Saiu da cerca
RWB3C06,Descarga INO,31/07/2025 19:43,31/07/2025 20:04,21m,Saiu da cerca
RWB3C06,Patio Vazio INO,31/07/2025 19:43,31/07/2025 19:58,15m,Saiu da cerca
SYD5G01,Agua Clara,31/07/2025 20:02,31/07/2025 20:55,53m,Saiu da cerca
RWB3C06,Desc. INO,31/07/2025 19:58,31/07/2025 20:04,6m,Saiu da cerca
SYD5G48,Carregamento Fabrica RRP,31/07/2025 20:04,31/07/2025 20:06,2m,Saiu da cerca
SYD5G58,Buffer frotas ,31/07/2025 20:05,31/07/2025 20:45,40m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:05,31/07/2025 20:09,3m,Saiu da cerca
SYD5G65,Abastecimento Frotas RRP,31/07/2025 20:04,31/07/2025 20:13,9m,Saiu da cerca
SYD5G65,Pro LOG,31/07/2025 20:05,31/07/2025 20:13,8m,Saiu da cerca
SYD5G21,Descarga INO,31/07/2025 20:06,31/07/2025 20:41,35m,Saiu da cerca
SYD5G21,Patio Vazio INO,31/07/2025 20:06,31/07/2025 20:28,22m,Saiu da cerca
SYD5G48,Buffer frotas ,31/07/2025 20:06,31/07/2025 20:23,17m,Saiu da cerca
RWB3C06,Patio Carregado INO,31/07/2025 20:04,31/07/2025 20:27,23m,Saiu da cerca
SMH0F11,Descarga INO,31/07/2025 19:45,31/07/2025 20:10,24m,Saiu da cerca
SMH0F11,Patio Vazio INO,31/07/2025 19:45,31/07/2025 19:56,10m,Saiu da cerca
SYD5G24,Oficina JSL,31/07/2025 20:09,31/07/2025 20:11,2m,Saiu da cerca
SMH0F11,Desc. INO,31/07/2025 19:56,31/07/2025 20:10,13m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:09,31/07/2025 20:11,1m,Saiu da cerca
SYD5G51,Carregamento RRp,31/07/2025 20:10,31/07/2025 20:22,11m,Saiu da cerca
SMH0F11,Patio Carregado INO,31/07/2025 20:10,31/07/2025 20:28,18m,Saiu da cerca
SMG9D17,Enlonamento RRP,31/07/2025 20:11,31/07/2025 20:12,0m,Saiu da cerca
SMG9B17,Buffer frotas ,31/07/2025 20:07,31/07/2025 20:09,2m,Saiu da cerca
SMG9B17,Carregamento Fabrica RRP,31/07/2025 20:12,31/07/2025 20:58,46m,Saiu da cerca
SMG9B17,Enlonamento RRP,31/07/2025 20:12,31/07/2025 20:20,8m,Saiu da cerca
