Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
RRP;SYE7D13;Patio Carregado INO;Parada Operacional;07/08/2025 12:15;07/08/2025 12:24;Saiu da cerca;0.15
RRP;SYE7D14;Descarga Inocencia;Não Mapeado;07/08/2025 07:37;07/08/2025 11:42;Saiu da cerca;4.09
RRP;SYE7D14;Terminal;Terminal;07/08/2025 07:38;07/08/2025 11:42;Saiu da cerca;4.08
RRP;SYE7D14;Descarga;Descarga;07/08/2025 07:38;07/08/2025 11:36;Saiu da cerca;3.97
RRP;SYE7D14;Patio Carregado INO;Parada Operacional;07/08/2025 07:38;07/08/2025 09:55;Saiu da cerca;2.28
RRP;SYE7D14;Descarga INO;Não Mapeado;07/08/2025 10:16;07/08/2025 11:34;Saiu da cerca;1.31
RRP;SYE7D14;Patio Vazio INO;Parada Operacional;07/08/2025 10:16;07/08/2025 11:04;Saiu da cerca;0.8
RRP;SYE7D14;Patio Carregado INO;Parada Operacional;07/08/2025 11:36;07/08/2025 11:42;Saiu da cerca;0.1
RRP;SYE7D16;Agua Clara;Parada Operacional;07/08/2025 08:52;07/08/2025 11:41;Saiu da cerca;2.8
RRP;SYE7D16;PA AGUA CLARA;Ponto Apoio;07/08/2025 09:02;07/08/2025 11:32;Saiu da cerca;2.5
RRP;SYD5G04;Terminal Inocencia;Terminal;07/08/2025 10:00;;Entrou na cerca;0.0
RRP;SYL4A18;Patio Carregado INO;Parada Operacional;07/08/2025 09:31;07/08/2025 12:08;Saiu da cerca;2.62
RRP;SYD5G19;Terminal Inocencia;Terminal;07/08/2025 10:02;;Entrou na cerca;0.0
RRP;SYD5G24;Terminal Inocencia;Terminal;07/08/2025 10:08;;Entrou na cerca;0.0
RRP;SYD5G37;Terminal Inocencia;Terminal;07/08/2025 11:24;;Entrou na cerca;0.0
RRP;SYL4A20;Agua Clara;Parada Operacional;07/08/2025 06:52;07/08/2025 10:11;Saiu da cerca;3.33
RRP;SYL4A20;PA AGUA CLARA;Ponto Apoio;07/08/2025 07:48;07/08/2025 10:09;Saiu da cerca;2.36
RRP;SYL4A20;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 11:22;07/08/2025 11:34;Saiu da cerca;0.2
RRP;SYL4A20;Pro LOG;Não Mapeado;07/08/2025 11:22;07/08/2025 11:34;Saiu da cerca;0.2
RRP;SYL4A20;Fábrica;Fábrica;07/08/2025 11:36;07/08/2025 12:20;Saiu da cerca;0.74
RRP;SYL4A20;Carregamento;Carregamento;07/08/2025 11:36;07/08/2025 12:05;Saiu da cerca;0.49
RRP;SYL4A20;Buffer frotas ;Parada Operacional;07/08/2025 12:22;07/08/2025 12:37;Saiu da cerca;0.25
RRP;SYD5G61;Terminal Inocencia;Terminal;07/08/2025 11:29;;Entrou na cerca;0.0
RRP;SYD5G63;Terminal Inocencia;Terminal;07/08/2025 11:30;;Entrou na cerca;0.0
RRP;SYL4A18;Terminal Inocencia;Terminal;07/08/2025 09:31;;Entrou na cerca;0.0
RRP;SYL5J47;Agua Clara;Parada Operacional;07/08/2025 06:38;07/08/2025 11:08;Saiu da cerca;4.49
RRP;SYL5J47;PA AGUA CLARA;Ponto Apoio;07/08/2025 06:43;07/08/2025 11:01;Saiu da cerca;4.31
TLS;SYR4E33;TRAJETO FABRICA X PA;Não Mapeado;07/08/2025 06:44;07/08/2025 07:26;Saiu da cerca;0.69
TLS;SYR4E33;Trajeto Posto;Não Mapeado;07/08/2025 07:27;07/08/2025 07:28;Saiu da cerca;0.01
TLS;SYR4E33;Fila abastecimento posto;Parada Operacional;07/08/2025 07:32;07/08/2025 07:33;Saiu da cerca;0.01
TLS;SYR4E33;POSTO DE ABASTECIMENTO;Parada Operacional;07/08/2025 07:33;07/08/2025 07:48;Saiu da cerca;0.25
TLS;SYR4E33;Trajeto Posto;Não Mapeado;07/08/2025 07:48;07/08/2025 07:51;Saiu da cerca;0.06
TLS;SYR4E33;AREA EXTERNA SUZANO;Parada Operacional;07/08/2025 07:53;07/08/2025 07:56;Saiu da cerca;0.06
TLS;SYR4E33;Carregamento Fabrica;Fábrica;07/08/2025 07:56;07/08/2025 08:46;Saiu da cerca;0.83
TLS;SYR4E33;TRAJETO FABRICA X PA;Não Mapeado;07/08/2025 08:51;07/08/2025 09:37;Saiu da cerca;0.78
TLS;SYR4E33;TRAJETO PA X APARECIDA 1;Não Mapeado;07/08/2025 09:37;07/08/2025 10:11;Saiu da cerca;0.56
TLS;SYR4E33;MONTANINI;Parada Operacional;07/08/2025 09:39;07/08/2025 09:40;Saiu da cerca;0.01
TLS;SYR4E33;TRAJETO PA X APARECIDA 2;Não Mapeado;07/08/2025 10:14;07/08/2025 11:31;Saiu da cerca;1.28
TLS;SYR4E33;TRAJETO PA X APARECIDA 3;Não Mapeado;07/08/2025 11:31;07/08/2025 11:42;Saiu da cerca;0.18
TLS;SYR4E37;TRAJETO FABRICA X PA;Não Mapeado;07/08/2025 07:27;07/08/2025 08:16;Saiu da cerca;0.81
TLS;SYR4E37;TRAJETO PA X APARECIDA 1;Não Mapeado;07/08/2025 08:16;07/08/2025 08:55;Saiu da cerca;0.65
TLS;SYR4E37;TRAJETO PA X APARECIDA 2;Não Mapeado;07/08/2025 08:55;07/08/2025 09:54;Saiu da cerca;0.98
