Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
RRP,SYD5G65,Posto Mutum,Posto Mutum,07/08/2025 10:26:24,07/08/2025 10:36:56,Saiu da cerca,0.18
RRP,SYD5G65,Agua Clara,Agua Clara,07/08/2025 10:36:56,07/08/2025 11:50:58,Saiu da cerca,1.23
RRP,SYD5G65,PA AGUA CLARA,Ponto Apoio,07/08/2025 10:36:56,07/08/2025 11:42:55,Saiu da cerca,1.1
RRP,SYD5G65,Descarga Inocencia,Terminal,07/08/2025 14:05:32,,Entrou na cerca,0.0
RRP,SYD5G67,Descarga Inocencia,Terminal,07/08/2025 06:26:18,07/08/2025 11:06:17,Saiu da cerca,4.67
RRP,SYE4C10,Descarga Inocencia,Terminal,07/08/2025 07:22:41,07/08/2025 13:21:47,Saiu da cerca,5.99
RRP,SYE7D10,Agua Clara,Agua Clara,07/08/2025 10:04:41,07/08/2025 10:10:44,Saiu da cerca,0.1
RRP,SYE7D10,Descarga Inocencia,Terminal,07/08/2025 12:44:22,,Entrou na cerca,0.0
RRP,SYE7D11,Agua Clara,Agua Clara,07/08/2025 11:59:20,07/08/2025 12:08:12,Saiu da cerca,0.15
RRP,SYE7D12,Descarga Inocencia,Terminal,07/08/2025 06:21:34,07/08/2025 11:20:12,Saiu da cerca,4.98
RRP,SYE7D12,Agua Clara,Agua Clara,07/08/2025 13:26:00,,Entrou na cerca,0.0
RRP,SYE7D12,PA AGUA CLARA,Ponto Apoio,07/08/2025 13:26:00,,Entrou na cerca,0.0
RRP,SYE7D13,Descarga Inocencia,Terminal,07/08/2025 06:50:44,07/08/2025 12:24:13,Saiu da cerca,5.56
RRP,SYE7D13,Agua Clara,Agua Clara,07/08/2025 14:31:11,07/08/2025 14:51:15,Saiu da cerca,0.33
RRP,SYE7D13,PA AGUA CLARA,Ponto Apoio,07/08/2025 14:39:36,07/08/2025 14:49:14,Saiu da cerca,0.16
RRP,SYE7D14,Descarga Inocencia,Terminal,07/08/2025 07:37:17,07/08/2025 11:42:53,Saiu da cerca,4.09
RRP,SYE7D14,Agua Clara,Agua Clara,07/08/2025 14:49:10,,Entrou na cerca,0.0
RRP,SYE7D14,PA AGUA CLARA,Ponto Apoio,07/08/2025 14:56:13,,Entrou na cerca,0.0
RRP,SYE7D16,Agua Clara,Agua Clara,07/08/2025 08:52:56,07/08/2025 11:41:07,Saiu da cerca,2.8
RRP,SYE7D16,PA AGUA CLARA,Ponto Apoio,07/08/2025 09:02:00,07/08/2025 11:32:04,Saiu da cerca,2.5
RRP,SYE7D16,Descarga Inocencia,Terminal,07/08/2025 14:32:13,,Entrou na cerca,0.0
RRP,SYL4A18,Descarga Inocencia,Terminal,07/08/2025 09:31:08,07/08/2025 13:27:56,Saiu da cerca,3.95
RRP,SYL4A20,Agua Clara,Agua Clara,07/08/2025 06:52:29,07/08/2025 10:11:59,Saiu da cerca,3.33
RRP,SYL4A20,PA AGUA CLARA,Ponto Apoio,07/08/2025 07:48:08,07/08/2025 10:09:47,Saiu da cerca,2.36
RRP,SYL4A20,Abastecimento Frotas RRP,Abastecimento,07/08/2025 11:22:27,07/08/2025 11:34:19,Saiu da cerca,0.2
RRP,SYL4A20,Carregamento Fabrica RRP,Fábrica,07/08/2025 11:36:20,07/08/2025 12:20:41,Saiu da cerca,0.74
RRP,SYL4A20,Agua Clara,Agua Clara,07/08/2025 13:57:09,07/08/2025 14:04:12,Saiu da cerca,0.12
RRP,SYL5J46,Descarga Inocencia,Terminal,07/08/2025 10:09:51,,Entrou na cerca,0.0
RRP,SYL5J47,Agua Clara,Agua Clara,07/08/2025 06:38:23,07/08/2025 11:08:00,Saiu da cerca,4.49
RRP,SYL5J47,PA AGUA CLARA,Ponto Apoio,07/08/2025 06:43:27,07/08/2025 11:01:58,Saiu da cerca,4.31
RRP,SYL5J47,Descarga Inocencia,Terminal,07/08/2025 13:36:46,,Entrou na cerca,0.0
TLS,SYR4E33,FILA DESCARGA APT,Terminal,07/08/2025 11:50:19,,Entrou na cerca,0.0
TLS,SYR4E37,FILA DESCARGA APT,Terminal,07/08/2025 10:23:51,07/08/2025 12:07:46,Saiu da cerca,1.73
TLS,SYR4E37,Descarga TAP,Terminal,07/08/2025 12:07:46,07/08/2025 13:01:10,Saiu da cerca,0.89
TLS,SYR4E37,FILA DESCARGA APT,Terminal,07/08/2025 13:01:10,07/08/2025 13:06:03,Saiu da cerca,0.08
TLS,SYR4E37,SELVIRIA,Selviria,07/08/2025 13:50:07,07/08/2025 13:55:00,Saiu da cerca,0.08
TLS,SYR4E37,PA Celulose,Ponto Apoio,07/08/2025 14:53:47,,Entrou na cerca,0.0
TLS,TJM9E93,SELVIRIA,Selviria,07/08/2025 10:09:27,07/08/2025 10:14:58,Saiu da cerca,0.09
TLS,TJM9E93,FILA DESCARGA APT,Terminal,07/08/2025 11:18:28,,Entrou na cerca,0.0
