Customer_ID;Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao;Data_Atualizacao;Vehicle_Id;Fence_Id
40456;ID 40456;RUM1D35;Carregamento Fabrica;Fábrica;07/08/2025 10:39;07/08/2025 11:36;Saiu da cerca;0.95;07/08/2025 12:36;581029;185186
40456;ID 40456;RVT8E85;Carregamento Fabrica;Fábrica;07/08/2025 09:46;07/08/2025 10:36;Saiu da cerca;0.83;07/08/2025 11:44;619567;185186
44459;RRP;RWB3C06;Agua Clara;Parada Operacional;07/08/2025 10:37;07/08/2025 10:47;Saiu da cerca;0.17;07/08/2025 11:47;610501;171261
44459;RRP;RWB3C06;PA AGUA CLARA;Ponto Apoio;07/08/2025 10:45;07/08/2025 10:47;Saiu da cerca;0.03;07/08/2025 11:47;610501;185766
44459;RRP;RWB3C06;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 12:13;07/08/2025 12:27;Saiu da cerca;0.22;07/08/2025 13:27;610501;170896
44459;RRP;RWB3C06;Carregamento Fabrica RRP;Fábrica;07/08/2025 12:29;07/08/2025 13:35;Saiu da cerca;1.1;07/08/2025 14:35;610501;170885
44459;RRP;RWD4B32;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 10:23;07/08/2025 10:50;Saiu da cerca;0.45;07/08/2025 12:22;620722;170896
44459;RRP;RWD4B32;Carregamento Fabrica RRP;Fábrica;07/08/2025 10:50;07/08/2025 11:33;Saiu da cerca;0.72;07/08/2025 13:14;620722;170885
44459;RRP;RWD4B32;Agua Clara;Parada Operacional;07/08/2025 13:51;07/08/2025 14:10;Saiu da cerca;0.32;07/08/2025 15:11;620722;171261
41606;ID 41606;RWE5H73;Terminal;Terminal;07/08/2025 09:57;07/08/2025 11:12;Saiu da cerca;1.25;07/08/2025 12:16;611799;115514
41606;ID 41606;RWE5H73;Carregamento Fabrica;Fábrica;07/08/2025 14:29;;Entrou na cerca;0.0;07/08/2025 15:29;611799;185186
44459;RRP;RWF6G80;Oficina JSL;Manutenção;07/08/2025 07:19;07/08/2025 12:51;Saiu da cerca;5.53;07/08/2025 13:50;611435;181600
44459;RRP;RWF6G80;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 13:01;07/08/2025 13:15;Saiu da cerca;0.23;07/08/2025 14:14;611435;170896
44459;RRP;RWF6G80;Carregamento Fabrica RRP;Fábrica;07/08/2025 13:17;07/08/2025 14:14;Saiu da cerca;0.94;07/08/2025 15:13;611435;170885
41774;ID 41774;RWH4B89;Carregamento Fabrica;Fábrica;07/08/2025 09:59;07/08/2025 10:53;Saiu da cerca;0.9;07/08/2025 11:53;606967;185186
41606;ID 41606;RWJ4H09;Terminal;Terminal;07/08/2025 09:33;07/08/2025 11:16;Saiu da cerca;1.72;07/08/2025 12:16;604141;115514
45051;ID 45051;RWJ8A87;Oficina JSL;Manutenção;07/08/2025 08:57;07/08/2025 10:23;Saiu da cerca;1.43;07/08/2025 11:28;583217;181600
45051;ID 45051;RWJ8A87;Manutencao JSL RRP;Manutenção;07/08/2025 10:30;07/08/2025 11:14;Saiu da cerca;0.73;07/08/2025 12:23;583217;169317
45051;ID 45051;RWJ8A87;Oficina JSL;Manutenção;07/08/2025 11:23;07/08/2025 13:42;Saiu da cerca;2.31;07/08/2025 14:55;583217;181600
45054;ID 45054;RWJ8C61;Manutencao JSL RRP;Manutenção;04/08/2025 09:22;07/08/2025 10:51;Saiu da cerca;73.48;07/08/2025 11:53;583272;169317
45053;ID 45053;RWJ8D41;Manutencao JSL RRP;Manutenção;07/08/2025 12:15;07/08/2025 13:10;Saiu da cerca;0.91;07/08/2025 14:10;601440;169317
45053;ID 45053;RWJ8D41;Oficina JSL;Manutenção;07/08/2025 13:18;;Entrou na cerca;0.0;07/08/2025 14:19;601440;181600
45054;ID 45054;SLZ1D18;Oficina JSL;Manutenção;07/08/2025 11:07;07/08/2025 13:11;Saiu da cerca;2.07;07/08/2025 14:11;605025;181600
45054;ID 45054;SLZ1D18;Manutencao JSL RRP;Manutenção;07/08/2025 13:16;;Entrou na cerca;0.0;07/08/2025 14:16;605025;169317
45054;ID 45054;SLZ1D72;Oficina JSL;Manutenção;07/08/2025 08:39;07/08/2025 09:45;Saiu da cerca;1.1;07/08/2025 10:46;590650;181600
45054;ID 45054;SLZ1D72;Manutencao JSL RRP;Manutenção;07/08/2025 09:58;07/08/2025 10:24;Saiu da cerca;0.43;07/08/2025 14:04;590650;169317
45054;ID 45054;SLZ1D72;Oficina JSL;Manutenção;07/08/2025 13:13;;Entrou na cerca;0.0;07/08/2025 14:56;590650;181600
