Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
TLS,JBJ4H88,FILA DESCARGA APT,Não Classificado,09/08/2025 08:17:33,09/08/2025 09:46:02,Saiu da cerca,1.47
TLS,JBJ4H88,Descarga TAP,Não Classificado,09/08/2025 09:46:02,09/08/2025 10:25:19,Saiu da cerca,0.65
TLS,JBK3B61,Fila abastecimento posto,Não Classificado,09/08/2025 06:07:30,09/08/2025 06:07:59,Saiu da cerca,0.01
TLS,JBK3B61,POSTO DE ABASTECIMENTO,Não Classificado,09/08/2025 06:07:59,09/08/2025 06:27:09,Saiu da cerca,0.32
TLS,JBK3B61,Carregamento Fabrica,Não Classificado,09/08/2025 06:49:36,09/08/2025 07:45:47,Saiu da cerca,0.94
TLS,JBK3B61,FILA DESCARGA APT,Não Classificado,09/08/2025 10:51:53,,Entrou na cerca,0.0
TLS,JBK3C91,POSTO DE ABASTECIMENTO,Não Classificado,09/08/2025 06:31:04,09/08/2025 06:31:34,Saiu da cerca,0.01
TLS,JBK3C91,Carregamento Fabrica,Não Classificado,09/08/2025 06:38:39,09/08/2025 07:52:34,Saiu da cerca,1.23
TLS,JBK3C91,FILA DESCARGA APT,Não Classificado,09/08/2025 10:44:06,,Entrou na cerca,0.0
TLS,JBW5G08,FILA DESCARGA APT,Não Classificado,09/08/2025 07:33:51,09/08/2025 08:09:02,Saiu da cerca,0.59
TLS,JBW5G08,Descarga TAP,Não Classificado,09/08/2025 08:09:56,09/08/2025 09:07:21,Saiu da cerca,0.96
RRP,JCR1E33,Oficina JSL,Não Classificado,09/08/2025 06:13:43,09/08/2025 07:15:44,Saiu da cerca,1.03
RRP,JCR1E33,Manutencao JSL RRP,Não Classificado,09/08/2025 07:25:49,09/08/2025 09:31:21,Saiu da cerca,2.09
RRP,JCR1E33,Oficina JSL,Não Classificado,09/08/2025 10:17:12,09/08/2025 10:44:12,Saiu da cerca,0.45
RRP,JCR1E33,Manutencao JSL RRP,Não Classificado,09/08/2025 11:28:46,,Entrou na cerca,0.0
RRP,JCR1E35,Manutencao JSL RRP,Não Classificado,09/08/2025 06:52:01,09/08/2025 07:14:13,Saiu da cerca,0.37
RRP,JCR1E35,Oficina JSL,Não Classificado,09/08/2025 07:25:18,09/08/2025 07:33:20,Saiu da cerca,0.13
RRP,JCR1E35,Manutencao JSL RRP,Não Classificado,09/08/2025 07:42:25,09/08/2025 08:12:53,Saiu da cerca,0.51
RRP,JCR1E35,Oficina JSL,Não Classificado,09/08/2025 08:22:57,09/08/2025 10:11:30,Saiu da cerca,1.81
RRP,JCR1E36,Oficina JSL,Não Classificado,08/08/2025 18:37:30,09/08/2025 08:06:36,Saiu da cerca,13.48
RRP,JCR1E36,Manutencao JSL RRP,Não Classificado,09/08/2025 08:14:39,09/08/2025 09:15:22,Saiu da cerca,1.01
RRP,JCR1E36,Oficina JSL,Não Classificado,09/08/2025 09:29:11,,Entrou na cerca,0.0
RRP,JCT8B49,Oficina JSL,Não Classificado,08/08/2025 19:10:30,09/08/2025 10:52:07,Saiu da cerca,15.69
RRP,JCT8B49,Manutencao JSL RRP,Não Classificado,09/08/2025 11:00:12,,Entrou na cerca,0.0
RRP,JDO4D13,Agua Clara,Não Classificado,09/08/2025 08:23:10,09/08/2025 08:30:13,Saiu da cerca,0.12
RRP,JDO4D13,Carregamento Fabrica RRP,Não Classificado,09/08/2025 09:41:55,09/08/2025 10:54:25,Saiu da cerca,1.21
TLS,QAO9263,FILA DESCARGA APT,Não Classificado,09/08/2025 08:55:41,09/08/2025 10:17:34,Saiu da cerca,1.36
TLS,QAO9263,Descarga TAP,Não Classificado,09/08/2025 10:37:15,09/08/2025 11:21:31,Saiu da cerca,0.74
TLS,QAO9263,FILA DESCARGA APT,Não Classificado,09/08/2025 11:21:31,09/08/2025 11:23:55,Saiu da cerca,0.04
RRP,QTQ0F44,Descarga Inocencia,Não Classificado,09/08/2025 08:43:46,09/08/2025 10:08:21,Saiu da cerca,1.41
RRP,QUA0J34,Agua Clara,Não Classificado,09/08/2025 08:02:05,09/08/2025 08:31:40,Saiu da cerca,0.49
RRP,QUA0J34,Descarga Inocencia,Não Classificado,09/08/2025 10:36:47,,Entrou na cerca,0.0
TLS,RBL2B79,FILA DESCARGA APT,Não Classificado,09/08/2025 08:39:17,,Entrou na cerca,0.0
TLS,RHE5I48,FILA DESCARGA APT,Não Classificado,09/08/2025 07:42:05,09/08/2025 08:29:31,Saiu da cerca,0.79
TLS,RHE5I48,Descarga TAP,Não Classificado,09/08/2025 08:29:31,09/08/2025 09:28:27,Saiu da cerca,0.98
TLS,RHE5I48,FILA DESCARGA APT,Não Classificado,09/08/2025 09:28:27,09/08/2025 09:29:00,Saiu da cerca,0.01
TLS,RHE5I48,PA Celulose,Não Classificado,09/08/2025 11:44:54,,Entrou na cerca,0.0
TLS,RIR5I81,FILA DESCARGA APT,Não Classificado,09/08/2025 07:44:03,09/08/2025 08:43:04,Saiu da cerca,0.98
TLS,RIR5I81,Descarga TAP,Não Classificado,09/08/2025 08:43:04,09/08/2025 09:47:00,Saiu da cerca,1.07
TLS,RIR5I81,FILA DESCARGA APT,Não Classificado,09/08/2025 09:47:00,09/08/2025 09:51:54,Saiu da cerca,0.08
TLS,RIT6B34,FILA DESCARGA APT,Não Classificado,09/08/2025 08:33:02,09/08/2025 10:13:32,Saiu da cerca,1.68
TLS,RIT6B34,Descarga TAP,Não Classificado,09/08/2025 10:13:32,09/08/2025 10:47:58,Saiu da cerca,0.57
